Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_Reference_cas,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200501BS00032,524470,180980,-0.207623,51.513988,1,3,2,1,30/01/2005,1,20:00,12,E09000020,4,450,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002874,1,1,0,18,0,0,0,0,0,0,3,1,15,1,47,8,-1,-1,-1,-1,-1,1,1,1,1,47,8,3,0,0,0,0,-1,1,-1
200501BS70016,525200,180460,-0.197293,51.509154,1,3,1,1,12/02/2005,7,13:25,12,E09000020,3,4206,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01002884,1,9,0,18,0,0,0,0,0,0,0,1,15,1,35,6,1598,1,3,4,1,1,1,3,1,38,7,3,4,3,0,0,-1,0,1
200501BS70029,524100,181830,-0.212653,51.521709,1,2,1,1,15/02/2005,3,18:15,12,E09000020,4,450,6,30,0,-1,-1,0,0,1,4,1,1,0,0,1,1,E01002905,1,5,0,18,0,0,0,0,0,0,1,1,15,1,25,5,599,1,7,3,1,1,1,3,1,-1,-1,2,4,1,0,0,-1,0,-1
200501BS00031,523930,180330,-0.215629,51.508265,1,3,1,1,19/01/2005,4,16:35,12,E09000020,5,0,6,30,3,4,6,0,0,1,4,2,2,0,0,1,1,E01001944,1,9,0,18,0,2,0,0,0,0,1,1,15,1,41,7,1192,1,-1,3,1,1,1,3,1,68,10,3,1,3,0,0,-1,0,1
200501BS00022,526790,178980,-0.174925,51.495498,1,2,1,1,08/01/2005,7,03:00,12,E09000020,3,4,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002821,1,9,0,18,0,1,0,0,0,0,1,1,15,1,28,6,1997,1,1,5,1,1,1,3,1,-1,-1,2,5,1,0,0,-1,0,-1
200501BS70030,526360,177420,-0.181674,51.481575,1,3,2,1,16/02/2005,4,10:35,12,E09000020,3,3220,6,30,6,2,3,3217,0,0,1,1,1,0,0,1,1,E01002913,1,21,1,18,0,1,0,0,0,0,4,1,15,1,57,9,11946,2,8,8,3,2,1,1,2,36,7,3,0,0,0,0,-1,1,1
200501BS70002,527780,179160,-0.160606,51.496893,1,3,2,1,02/02/2005,4,07:25,12,E09000020,4,319,6,30,3,4,6,0,0,1,4,1,1,0,0,1,1,E01002863,1,9,0,18,0,1,0,0,0,0,2,1,15,1,40,7,-1,-1,-1,-1,-1,2,1,1,2,33,6,3,0,0,0,0,-1,5,1
200501BS00019,524680,179450,-0.205139,51.500191,1,2,2,1,20/01/2005,5,00:15,12,E09000020,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002864,1,5,0,18,0,8,0,0,0,0,1,1,15,1,54,8,599,1,6,5,1,1,1,1,1,54,8,2,0,0,0,0,-1,5,1
200501BS70016,525200,180460,-0.197293,51.509154,1,3,1,1,12/02/2005,7,13:25,12,E09000020,3,4206,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01002884,1,9,0,18,0,0,0,0,0,0,0,1,15,1,35,6,1598,1,3,4,1,1,1,3,1,38,7,3,4,3,0,0,-1,0,1
200501BS70003,523910,181390,-0.215545,51.517796,1,2,2,2,01/02/2005,3,17:30,12,E09000020,4,412,2,30,2,4,6,0,0,0,4,2,2,0,0,1,1,E01002878,1,3,0,18,0,8,0,0,0,0,1,1,15,1,24,5,124,1,3,2,1,1,1,1,1,24,5,3,0,0,0,0,-1,3,1
